No.,標準特厚,種,typ,杭種,D,t,Fc,fc_,fbc,sigma_e,Ec,ap,dp,ftp,sigma_pu,Ep,has_reinf,nr,r_designation,ag,dr,ftr,Er,ts,fts,Es,ps_sigma_y,CatalogAo,CatalogAe,CatalogIe,CatalogMal,CatalogMas,CatalogMcr,CatalogMu,CatalogQal,CatalogQas,CatalogQcr,CatalogNal,PcDesignation,PcCount
1081,特厚型,A,MS-hi105-1100-特厚型-A,PHC,1100,180,105,60,2.00,4.0,40000,2600,980,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,520200,530600,58397690000,530.0,637.0,1167.0,1683.0,666.0,861.0,1148.0,13797.0,11.2,26
1082,標準型,B,MS-hi105-1100-標準型-B,PHC,1100,140,105,60,4.00,8.0,40000,4400,980,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,422200,439800,51788200000,941.0,1129.0,1411.0,2773.0,711.0,898.0,1163.0,9678.0,11.2,44
1083,厚型,B,MS-hi105-1100-厚型-B,PHC,1100,160,105,60,3.90,7.8,40000,4400,980,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,472500,490100,55812000000,985.0,1182.0,1497.0,2767.0,789.0,998.0,1294.0,10901.0,11.2,44
1084,特厚型,B,MS-hi105-1100-特厚型-B,PHC,1100,180,105,60,4.00,8.0,40000,5500,980,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,520200,542200,59790270000,1087.0,1304.0,1630.0,3396.0,886.0,1120.0,1449.0,11929.0,12.6,44
1085,標準型,C,MS-hi105-1100-標準型-C,PHC,1100,140,105,60,5.00,10.0,40000,5500,980,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,422200,444200,52316420000,1188.0,1426.0,1616.0,3420.0,784.0,986.0,1267.0,8886.0,12.6,44
1086,厚型,C,MS-hi105-1100-厚型-C,PHC,1100,160,105,60,4.75,9.5,40000,5500,980,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,472500,494500,56340220000,1216.0,1459.0,1691.0,3410.0,863.0,1086.0,1397.0,10133.0,12.6,44
1087,標準型,A,MS-hi105-1200-標準型-A,PHC,1200,150,105,60,2.00,4.0,40000,2600,1080,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,494800,505200,71097630000,592.0,711.0,1303.0,1858.0,626.0,810.0,1080.0,13135.0,11.2,26
1088,厚型,A,MS-hi105-1200-厚型-A,PHC,1200,170,105,60,2.00,4.0,40000,2600,1080,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,550100,560500,76452720000,637.0,764.0,1401.0,1859.0,699.0,904.0,1206.0,14573.0,11.2,26
1089,特厚型,A,MS-hi105-1200-特厚型-A,PHC,1200,190,105,60,2.00,4.0,40000,3000,1080,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,602900,614900,81343660000,677.0,813.0,1491.0,2125.0,770.0,996.0,1328.0,15987.0,11.2,30
1090,標準型,B,MS-hi105-1200-標準型-B,PHC,1200,150,105,60,4.00,8.0,40000,5000,1080,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,494800,514800,72497310000,1207.0,1449.0,1811.0,3454.0,832.0,1052.0,1363.0,11328.0,11.2,50
1091,厚型,B,MS-hi105-1200-厚型-B,PHC,1200,170,105,60,3.80,7.6,40000,5000,1080,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,550100,570100,77852400000,1230.0,1477.0,1892.0,3446.0,909.0,1150.0,1492.0,12778.0,11.2,50
1092,特厚型,B,MS-hi105-1200-特厚型-B,PHC,1200,190,105,60,4.00,8.0,40000,6250,1080,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,602900,627900,83239060000,1387.0,1664.0,2080.0,4232.0,1024.0,1295.0,1677.0,13813.0,12.6,50
1093,標準型,C,MS-hi105-1200-標準型-C,PHC,1200,150,105,60,5.00,10.0,40000,6500,1080,1275,1420,200000,false,0,0,0,0,0,0,0,0,0,0,494800,520800,73372110000,1528.0,1833.0,2078.0,4418.0,919.0,1155.0,1484.0,10418.0,12.6,52
